ItemId,Group,Category,Type,Brand,Texture,Color,Thickness,Size,ItemCode,ItemName,MinStockQty,StandardUoM,IndUoM,PackUoM,PackQty
49,Paper,Book Paper,,Triplex,,White,#60,22x34in,PABKP Triplex-WHI-#60-22x34in 500/R,#NAME?,,ream,sheet,ream,500
50,Paper,Book Paper,,Triplex,,White,#70,22x34in,PABKP Triplex-WHI-#70-22x34in 500/R,#NAME?,,ream,sheet,ream,500
51,Paper,Book Paper,,Triplex,,White,#80,22x34in,PABKP Triplex-WHI-#80-22x34in 500/R,#NAME?,,ream,sheet,ream,500
52,Paper,Book Paper,,Triplex,,White,#40,28x34in,PABKP Triplex-WHI-#40-28x34in 500/R,#NAME?,,ream,sheet,ream,500
53,Paper,Book Paper,,Triplex,,White,#50,28x34in,PABKP Triplex-WHI-#50-28x34in 500/R,#NAME?,,ream,sheet,ream,500
54,Paper,Book Paper,,Triplex,,White,#60,28x34in,PABKP Triplex-WHI-#60-28x34in 500/R,#NAME?,,ream,sheet,ream,500
55,Paper,Book Paper,,Triplex,,White,#70,28x34in,PABKP Triplex-WHI-#70-28x34in 500/R,#NAME?,,ream,sheet,ream,500
56,Paper,Book Paper,,Triplex,,White,#80,28x34in,PABKP Triplex-WHI-#80-28x34in 500/R,#NAME?,,ream,sheet,ream,500
57,Paper,Book Paper,,Triplex,,White,#40,25x38in,PABKP Triplex-WHI-#40-25x38in 500/R,#NAME?,,ream,sheet,ream,500
58,Paper,Book Paper,,Triplex,,White,#50,25x38in,PABKP Triplex-WHI-#50-25x38in 500/R,#NAME?,,ream,sheet,ream,500
59,Paper,Book Paper,,Triplex,,White,#60,25x38in,PABKP Triplex-WHI-#60-25x38in 500/R,#NAME?,,ream,sheet,ream,500
60,Paper,Book Paper,,Triplex,,White,#70,25x38in,PABKP Triplex-WHI-#70-25x38in 500/R,#NAME?,,ream,sheet,ream,500
61,Paper,Book Paper,,Triplex,,White,#80,25x38in,PABKP Triplex-WHI-#80-25x38in 500/R,#NAME?,,ream,sheet,ream,500
62,Paper,Coated 2-Sides,,Triplex,Gloss,White,#60,25x38in,PAC2S Triplex-G2-WHI-#60-25x38in 9999/R,#NAME?,,ream,sheet,ream,9999
63,Paper,Coated 2-Sides,,Triplex,Gloss,White,#70,25x38in,PAC2S Triplex-G2-WHI-#70-25x38in 500/R,#NAME?,,ream,sheet,ream,500
64,Paper,Coated 2-Sides,,Triplex,Gloss,White,#80,25x38in,PAC2S Triplex-G2-WHI-#80-25x38in 500/R,#NAME?,,ream,sheet,ream,500
65,Paper,Coated 2-Sides,,Triplex,Gloss,White,#100,25x38in,PAC2S Triplex-G2-WHI-#100-25x38in 9999/R,#NAME?,,ream,sheet,ream,9999
66,Paper,Coated 2-Sides,,Triplex,Gloss,White,#120,25x38in,PAC2S Triplex-G2-WHI-#120-25x38in 9999/R,#NAME?,,ream,sheet,ream,9999
67,Paper,Coated 2-Sides,,Triplex,Gloss,White,#140,25x38in,PAC2S Triplex-G2-WHI-#140-25x38in 9999/R,#NAME?,,ream,sheet,ream,9999
68,Paper,Coated 2-Sides,,Triplex,Gloss,White,#160,25x38in,PAC2S Triplex-G2-WHI-#160-25x38in 9999/R,#NAME?,,ream,sheet,ream,9999
69,Paper,Coated 2-Sides,,Triplex,Gloss,White,#170,25x38in,PAC2S Triplex-G2-WHI-#170-25x38in 9999/R,#NAME?,,ream,sheet,ream,9999
70,Paper,Coated 2-Sides,,Triplex,Gloss,White,#180,25x38in,PAC2S Triplex-G2-WHI-#180-25x38in 9999/R,#NAME?,,ream,sheet,ream,9999
71,Paper,Coated 2-Sides,,Triplex,Gloss,White,#200,25x38in,PAC2S Triplex-G2-WHI-#200-25x38in 9999/R,#NAME?,,ream,sheet,ream,9999
72,Paper,Coated 2-Sides,,Triplex,Gloss,White,#220,25x38in,PAC2S Triplex-G2-WHI-#220-25x38in 9999/R,#NAME?,,ream,sheet,ream,9999
73,Paper,Onionskin Paper,,OTC,,Blue,,22x34in,PAONS OTC-BLU-22x34in 500/R,#NAME?,,ream,sheet,ream,500
74,Paper,Onionskin Paper,,OTC,,Green,,22x34in,PAONS OTC-GRE-22x34in 500/R,#NAME?,,ream,sheet,ream,500
75,Paper,Onionskin Paper,,OTC,,Pink,,22x34in,PAONS OTC-PIN-22x34in 500/R,#NAME?,,ream,sheet,ream,500
76,Paper,Onionskin Paper,,OTC,,Yellow,,22x34in,PAONS OTC-YEL-22x34in 500/R,#NAME?,,ream,sheet,ream,500
77,Paper,Onionskin Paper,,OTC,,White,,22x34in,PAONS OTC-WHI-22x34in 500/R,#NAME?,,ream,sheet,ream,500
78,Paper,Onionskin Paper,,OTC,,Blue,,28x34in,PAONS OTC-BLU-28x34in 500/R,#NAME?,,ream,sheet,ream,500
79,Paper,Onionskin Paper,,OTC,,Green,,28x34in,PAONS OTC-GRE-28x34in 500/R,#NAME?,,ream,sheet,ream,500
80,Paper,Onionskin Paper,,OTC,,Pink,,28x34in,PAONS OTC-PIN-28x34in 500/R,#NAME?,,ream,sheet,ream,500
81,Paper,Onionskin Paper,,OTC,,Yellow,,28x34in,PAONS OTC-YEL-28x34in 500/R,#NAME?,,ream,sheet,ream,500
82,Paper,Board,Bristol,Triplex,Vellum,White,#74,22.5x28.5in,PABRDBTL Triplex-V1-WHI-#74-22.5x28.5in 9999/B,#NAME?,,bundle,sheet,bundle,9999
83,Paper,Board,Bristol,Triplex,Vellum,Blue,#74,22.5x28.5in,PABRDBTL Triplex-V1-BLU-#74-22.5x28.5in 9999/B,#NAME?,,bundle,sheet,bundle,9999
84,Paper,Board,Bristol,Triplex,Vellum,Green,#74,22.5x28.5in,PABRDBTL Triplex-V1-GRE-#74-22.5x28.5in 9999/B,#NAME?,,bundle,sheet,bundle,9999
85,Paper,Board,Bristol,Triplex,Vellum,Golden Rod,#74,22.5x28.5in,PABRDBTL Triplex-V1-GOL-#74-22.5x28.5in 9999/B,#NAME?,,bundle,sheet,bundle,9999
86,Paper,Board,Bristol,Triplex,Vellum,Orange,#74,22.5x28.5in,PABRDBTL Triplex-V1-ORA-#74-22.5x28.5in 9999/B,#NAME?,,bundle,sheet,bundle,9999
87,Paper,Board,Bristol,Triplex,Vellum,Pink,#74,22.5x28.5in,PABRDBTL Triplex-V1-PIN-#74-22.5x28.5in 9999/B,#NAME?,,bundle,sheet,bundle,9999
88,Paper,Board,Bristol,Triplex,Vellum,Red,#74,22.5x28.5in,PABRDBTL Triplex-V1-RED-#74-22.5x28.5in 9999/B,#NAME?,,bundle,sheet,bundle,9999
89,Paper,Board,Bristol,Triplex,Vellum,Yellow,#74,22.5x28.5in,PABRDBTL Triplex-V1-YEL-#74-22.5x28.5in 9999/B,#NAME?,,bundle,sheet,bundle,9999
90,Paper,Board,Bristol,Triplex,Vellum,Blue,#100,22.5x28.5in,PABRDBTL Triplex-V1-BLU-#100-22.5x28.5in 9999/B,#NAME?,,bundle,sheet,bundle,9999
91,Paper,Bond Paper,,TIPCO,,Blue,,22x34in,PABND TIPCO-BLU-22x34in 500/R,#NAME?,,ream,sheet,ream,500
92,Paper,Bond Paper,,TIPCO,,Green,,22x34in,PABND TIPCO-GRE-22x34in 500/R,#NAME?,,ream,sheet,ream,500
93,Paper,Bond Paper,,TIPCO,,Pink,,22x34in,PABND TIPCO-PIN-22x34in 500/R,#NAME?,,ream,sheet,ream,500
94,Paper,Bond Paper,,TIPCO,,White,,22x34in,PABND TIPCO-WHI-22x34in 500/R,#NAME?,,ream,sheet,ream,500
95,Paper,Bond Paper,,TIPCO,,Yellow,,22x34in,PABND TIPCO-YEL-22x34in 500/R,#NAME?,,ream,sheet,ream,500
96,Paper,Bond Paper,,TIPCO,,Blue,,28x34in,PABND TIPCO-BLU-28x34in 500/R,#NAME?,,ream,sheet,ream,500
97,Paper,Bond Paper,,TIPCO,,Green,,28x34in,PABND TIPCO-GRE-28x34in 500/R,#NAME?,,ream,sheet,ream,500
98,Paper,Bond Paper,,TIPCO,,Pink,,28x34in,PABND TIPCO-PIN-28x34in 500/R,#NAME?,,ream,sheet,ream,500
99,Paper,Bond Paper,,TIPCO,,White,,28x34in,PABND TIPCO-WHI-28x34in 500/R,#NAME?,,ream,sheet,ream,500
100,Paper,Bond Paper,,TIPCO,,Yellow,,28x34in,PABND TIPCO-YEL-28x34in 500/R,#NAME?,,ream,sheet,ream,500
101,Paper,Bond Paper,,TIPCO,,White,,8.5x13in,PABND TIPCO-WHI-8.5x13in 500/R,#NAME?,,ream,sheet,ream,500
102,Paper,Newsprint Paper,,Triplex Newsprint,,White,,22x34in,PANWS Triplex Newsprint-WHI-22x34in 480/R,#NAME?,,ream,sheet,ream,480
103,Paper,Newsprint Paper,,Triplex Newsprint,,White,,24x36in,PANWS Triplex Newsprint-WHI-24x36in 480/R,#NAME?,,ream,sheet,ream,480
104,Paper,Newsprint Paper,,Triplex Newsprint,,White,,18x24in,PANWS Triplex Newsprint-WHI-18x24in 480/R,#NAME?,,ream,sheet,ream,480
105,Paper,Newsprint Paper,,Triplex Newsprint,,White,,450x450,PANWS Triplex Newsprint-WHI-450x450 480/R,#NAME?,,ream,sheet,ream,480
106,Paper,Newsprint Paper,,Triplex Newsprint,,White,,28x34in,PANWS Triplex Newsprint-WHI-28x34in 480/R,#NAME?,,ream,sheet,ream,480
107,Paper,Newsprint Paper,,Triplex Newsprint,,White,,8.5x11in,PANWS Triplex Newsprint-WHI-8.5x11in 480/R,#NAME?,,ream,sheet,ream,480
108,Paper,Newsprint Paper,,Triplex Newsprint,,White,,8.5x13in,PANWS Triplex Newsprint-WHI-8.5x13in 480/R,#NAME?,,ream,sheet,ream,480
109,Paper,Kraft Paper,,Triplex,,Brown,#80,36x48in,PAKRF Triplex-BRO-#80-36x48in 480/R,#NAME?,,ream,sheet,ream,480
110,Paper,Kraft Paper,,Triplex,,Brown,#150,18x23in,PAKRF Triplex-BRO-#150-18x23in 480/R,#NAME?,,ream,sheet,ream,480
111,Paper,Kraft Paper,,Triplex,,Brown,#150,23x28in,PAKRF Triplex-BRO-#150-23x28in 480/R,#NAME?,,ream,sheet,ream,480
112,Paper,Kraft Paper,,Triplex kraft,,Brown,#150,36x48in,PAKRF Triplex kraft-BRO-#150-36x48in 480/R,#NAME?,,ream,sheet,ream,480
113,Paper,Board,Foldcote S/W,Triplex,,,#10,31x43in,PABRDFSW Triplex-#10-31x43in 9999/R,#NAME?,,ream,sheet,ream,9999
114,Paper,Board,Foldcote S/W,Triplex,,,#12,31x43in,PABRDFSW Triplex-#12-31x43in 9999/R,#NAME?,,ream,sheet,ream,9999
115,Paper,Board,Foldcote S/W,Triplex,,,#15,31x43in,PABRDFSW Triplex-#15-31x43in 9999/R,#NAME?,,ream,sheet,ream,9999
116,Paper,Board,Foldcote S/W,Triplex,,,#18,31x43in,PABRDFSW Triplex-#18-31x43in 9999/R,#NAME?,,ream,sheet,ream,9999
117,Paper,Board,Foldcote S/W,Triplex,,,#20,31x43in,PABRDFSW Triplex-#20-31x43in 9999/R,#NAME?,,ream,sheet,ream,9999
118,Paper,Board,Tag,Triplex,,White U.S.,#14,31x45in,PABRDTAG Triplex-WHI-#14-31x45in 9999/B,#NAME?,,bundle,sheet,bundle,9999
119,Paper,Board,Chip,Triplex,,Gray,#120,26x38in,PABRDCHP Triplex-GRA-#120-26x38in 9999/B,#NAME?,,bundle,sheet,bundle,9999
120,Paper,Board,Kromekote,Triplex,Gloss,White,189gsm,26x40in,PABRDKMK Triplex-G2-WHI-189gsm-26x40in 9999/B,#NAME?,,bundle,sheet,bundle,9999
121,Paper,Board,Carolina,Triplex,Smooth,White,240gsm,26x40in,PABRDCRL Triplex-S3-WHI-240gsm-26x40in 100/R,#NAME?,,ream,sheet,ream,100
122,Paper,Envelope,Windowed,Trojan,,White,103x,9.5x4.75in,PAENVWDW Trojan-WHI-103x-9.5x4.75in 500/B,#NAME?,,box,piece,box,500
123,Paper,Envelope,Windowless,Trojan,,White,103x,9.5x4.75in,PAENVWDL Trojan-WHI-103x-9.5x4.75in 500/B,#NAME?,,box,piece,box,500
124,Paper,Envelope,Baronial,Trojan,,White,,9.5x4.25in,PAENVBRL Trojan-WHI-9.5x4.25in 500/B,#NAME?,,box,piece,box,500
