Group,Category,Type,Brand,Texture,Color,Thickness,Size,MinStockQty,IndUoM,PackUoM,PackQty
Consumables,Maintenance Materials,lighter gas refill,butane,,,,,,piece,,
Consumables,Maintenance Materials,empty bottle sprayer,,,,,500ml,,piece,,
Consumables,Ink,HP Print head 831,,,light cyan and light magenta,,,,piece,bottle,1
Consumables,Ink,HP Print head 831,hp 831 CZ677A,,cyan and black,,,,piece,bottle,1
Consumables,Ink,HP Maintenance Cartridge,CZ681A,,,,,,piece,box,1
Consumables,Maintenance Materials,walis tingting,,,,,,,piece,,
Consumables,Ink,latex optimizer,hp831 CZ706A,,,,,,piece,,
Office Supplies,Stationary and Supplies,stamp pad,,,,,,,piece,,
Office Supplies,Stationary and Supplies,stamp pad refill,ink,,red,,,,piece,,
Machine and Parts,SORMZ Machine/Parts,P.U. Hose,,,blue,,,,meter,,
Consumables,Chemicals,oil,WD-40,,,,,,bottle,,
Consumables,Chemicals,oil,Gear oil SAE 140,,,,LITER,,bottle,,
Consumables,Maintenance Materials,sand paper #1000,,,,,,,piece,,
Consumables,Films and Plates,PLATE KORS,SWORD MAX,,,,745X620,,piece,box,50
Consumables,Chemicals,Alcohol IPA,S-100,,,,LITERS,,container,,
Consumables,Ink,HP 831 latex optimizer,CZ680A,,,,,,piece,box,1
Paper,Envelope,documentary,trojan,,Golden kraft,#200,10x15,,piece,box,500
Consumables,Maintenance Materials,sand paper,,,,#220,,,piece,,
Office Supplies,Stationary and Supplies,Arch file,,,,,,,piece,,
Machine and Parts,SORMZ Machine/Parts,HK 1210 needle bearing,,,,,,,piece,box,1
