Group,Category,Type,Brand,Texture,Color,Thickness,Size,MinStockQty,IndUoM,PackUoM,PackQty
Paper,Board,Bristol,Triplex,Vellum,Blue,#74,22.5x28.5in,,sheet,,
Paper,Board,Bristol,Triplex,Vellum,Green,#74,22.5x28.5in,,sheet,,
Paper,Board,Bristol,Triplex,Vellum,Golden Rod,#74,22.5x28.5in,,sheet,,
Paper,Board,Bristol,Triplex,Vellum,Orange,#74,22.5x28.5in,,sheet,,
Paper,Board,Bristol,Triplex,Vellum,Pink,#74,22.5x28.5in,,sheet,,
Paper,Board,Bristol,Triplex,Vellum,Red,#74,22.5x28.5in,,sheet,,
Paper,Board,Bristol,Triplex,Vellum,Yellow,#74,22.5x28.5in,,sheet,,
Paper,Board,Bristol,Triplex,Vellum,Blue,#100,22.5x28.5in,,sheet,,
Paper,Bond Paper,,TIPCO,,Blue,,22x34in,,sheet,ream,500
Paper,Bond Paper,,TIPCO,,Green,,22x34in,,sheet,ream,500
Paper,Bond Paper,,TIPCO,,Pink,,22x34in,,sheet,ream,500
Paper,Bond Paper,,TIPCO,,White,,22x34in,,sheet,ream,500
Paper,Bond Paper,,TIPCO,,Yellow,,22x34in,,sheet,ream,500
Paper,Bond Paper,,TIPCO,,Blue,,28x34in,,sheet,ream,500
Paper,Bond Paper,,TIPCO,,Green,,28x34in,,sheet,ream,500
Paper,Bond Paper,,TIPCO,,Pink,,28x34in,,sheet,ream,500
Paper,Bond Paper,,TIPCO,,White,,28x34in,,sheet,ream,500
Paper,Bond Paper,,TIPCO,,Yellow,,28x34in,,sheet,ream,500
Paper,Bond Paper,,TIPCO,,White,,8.5x13in,,sheet,ream,500
Paper,Newsprint Paper,,Triplex Newsprint,,White,,22x34in,,sheet,ream,480
Paper,Newsprint Paper,,Triplex Newsprint,,White,,24x36in,,sheet,ream,480
Paper,Newsprint Paper,,Triplex Newsprint,,White,,18x24in,,sheet,ream,480
Paper,Newsprint Paper,,Triplex Newsprint,,White,,450x450,,sheet,ream,480
Paper,Newsprint Paper,,Triplex Newsprint,,White,,28x34in,,sheet,ream,480
Paper,Newsprint Paper,,Triplex Newsprint,,White,,8.5x11in,,sheet,ream,480
Paper,Newsprint Paper,,Triplex Newsprint,,White,,8.5x13in,,sheet,ream,480
Paper,Kraft Paper,,Triplex,,Brown,#80,36x48in,,sheet,ream,480
Paper,Kraft Paper,,Triplex,,Brown,#150,18x23in,,sheet,ream,480
Paper,Kraft Paper,,Triplex,,Brown,#150,23x28in,,sheet,ream,480
Paper,Kraft Paper,,Triplex kraft,,Brown,#150,36x48in,,sheet,ream,480
Paper,Board,Foldcote S/W,Triplex,,,#10,31x43in,,sheet,,
Paper,Board,Foldcote S/W,Triplex,,,#12,31x43in,,sheet,,
Paper,Board,Foldcote S/W,Triplex,,,#15,31x43in,,sheet,,
Paper,Board,Foldcote S/W,Triplex,,,#18,31x43in,,sheet,,
Paper,Board,Foldcote S/W,Triplex,,,#20,31x43in,,sheet,,
Paper,Board,Tag,Triplex,,White U.S.,#14,31x45in,,sheet,,
Paper,Board,Chip,Triplex,,Gray,#120,26x38in,,sheet,,
Paper,Board,Kromekote,Triplex,Gloss,White,189gsm,26x40in,,sheet,,
Paper,Board,Carolina,Triplex,Smooth,White,240gsm,26x40in,,sheet,ream,100
Paper,Envelope,Windowed,Trojan,,White,103x,9.5x4.75in,,piece,box,500
Paper,Envelope,Windowless,Trojan,,White,103x,9.5x4.75in,,piece,box,500
Paper,Envelope,Baronial,Trojan,,White,,9.5x4.25in,,piece,box,500
Paper,Envelope,Kraft,Trojan,,Golden Brown,,9x15in,,piece,box,500
Paper,Envelope,Kraft,Trojan Documentary,,Golden Brown,#150,9x12in,,piece,box,500
Paper,Folder,Long,Bigyield,,White,,8.5x13,,piece,bundle,100
Paper,Folder,Short,Bigyield,,White,,8.5x11,,piece,bundle,100
Paper,Board,Card,Triplex,Vellum,White,#100,22.5x28.5in,,sheet,,
Paper,Board,Card,Triplex,Vellum,White,#120,22.5x28.5in,,sheet,,
Paper,Sticker,Book B/B,Yunitrade,Uncoated,White,,15.5x10.5in,,piece,bundle,1000
Paper,Sticker,Book B/B,Yunitrade,Uncoated,White,,A4,,piece,bundle,1000
Paper,Sticker,Book B/B,Yunitrade,Uncoated,White,,10x21,,piece,bundle,1000
Paper,Sticker,Book Y/B,Yunitrade,Uncoated,White,,A4,,piece,bundle,1000
Paper,Sticker,Book Y/B,Yunitrade,Uncoated,White,,9x12in,,piece,bundle,1000
Paper,Sticker,Book Y/B,Yunitrade,Uncoated,White,,24x36in,,piece,bundle,100
Paper,Sticker,Book W/B,Yunitrade,Uncoated,White,,24x36in,,piece,bundle,100
Paper,Sticker,Satin Y/B,Yunitrade,Gloss,White,,24x36in,,piece,bundle,100
Paper,Sticker,Neon,Yunitrade,Uncoated,Green,,24x36in,,piece,bundle,100
Paper,Special Paper,,Astrobright,,Lemon,89gsm,,,sheet,,
Paper,Special Paper,,Astrobright,,Green,89gsm,,,sheet,,
Paper,Coated 2-Sides,,triplex,gloss,white,220,25x38,,sheet,ream,200
Paper,Carbonless Paper,,Goldmark,CF,Blue,,22x34in,,sheet,ream,500
Paper,Carbonless Paper,,Goldmark,CF,Green,,22x34in,,sheet,ream,500
Paper,Carbonless Paper,,Goldmark,CF,Pink,,22x34in,,sheet,ream,500
Paper,Carbonless Paper,,Goldmark,CF,White,,22x34in,,sheet,ream,500
Paper,Carbonless Paper,,Goldmark,CF,Yellow,,22x34in,,sheet,ream,500
Paper,Carbonless Board,Tag,Triplex,CF,White,125gsm,28x34in,,sheet,ream,250
Paper,Envelope,Windowless,Trojan,,White,,9.5x4.25in,,piece,box,500
Consumables,Chemicals,Gum Solution,,,,,,,bottle,,
Consumables,Chemicals,Fountain Solution,DYNA 200 FA,,,,Liters,,bottle,,
Consumables,Chemicals,Phosporic Acid,,,,,,,bottle,,
Consumables,Chemicals,Lacquer Thinner,,,,,,,bottle,,
Consumables,Chemicals,Motor Oil,,,,,,,bottle,,
Consumables,Chemicals,Ink Reducer,,,,,,,bottle,,
Consumables,Chemicals,Singer Oil,,,,,,,bottle,,
Consumables,Chemicals,Glycerine,,,,,,,bottle,,
Consumables,Chemicals,Mineral Oil,,,,,,,bottle,,
Consumables,Chemicals,Cyanoacrylate Adhesive,Pacmac,,,,,,bottle,,
Consumables,Maintenance Materials,Laundry Bar,,,,,,,piece,,
Consumables,Maintenance Materials,Laundry Powder,,,,,,,piece,,
Consumables,Maintenance Materials,All-Purpose Cleanser,ajax/zim,,,,,,piece,,
Consumables,Maintenance Materials,Cotton Balls,,,,,,,pack,,
Consumables,Maintenance Materials,Cotton Rags,,,,,,,piece,,
Consumables,Maintenance Materials,Floor Wax,,,,,,,piece,,
Consumables,Maintenance Materials,Garbage Bag,,,,,S,,piece,pack,100
